gene,mean_expression,treatment,source_file,n_ec_cells
Pdgfrb,0.0,D02,GSM7060819_Brain_GR180426_metadata.csv.gz,360
Rgs5,0.12589417665922506,D02,GSM7060819_Brain_GR180426_metadata.csv.gz,360
Gfap,0.0,D02,GSM7060819_Brain_GR180426_metadata.csv.gz,360
Cldn5,1.9059787955786782,D02,GSM7060820_Brain_GR180614_metadata.csv.gz,458
Pecam1,0.7812374851477358,D02,GSM7060820_Brain_GR180614_metadata.csv.gz,458
Cdh5,0.2172292966529481,D02,GSM7060820_Brain_GR180614_metadata.csv.gz,458
Kdr,0.3010837898780489,D02,GSM7060820_Brain_GR180614_metadata.csv.gz,458
Flt1,1.5362508242714212,D02,GSM7060820_Brain_GR180614_metadata.csv.gz,458
Tek,0.2271635839822795,D02,GSM7060820_Brain_GR180614_metadata.csv.gz,458
Slc2a1,0.7899551343873664,D02,GSM7060820_Brain_GR180614_metadata.csv.gz,458
Mfsd2a,0.04109492720281385,D02,GSM7060820_Brain_GR180614_metadata.csv.gz,458
Abcb1a,0.49372289111148115,D02,GSM7060820_Brain_GR180614_metadata.csv.gz,458
Abcg2,0.40224802132317666,D02,GSM7060820_Brain_GR180614_metadata.csv.gz,458
Tfrc,0.16524011591810872,D02,GSM7060820_Brain_GR180614_metadata.csv.gz,458
Slc7a5,0.1037733692251661,D02,GSM7060820_Brain_GR180614_metadata.csv.gz,458
Vwf,0.13759317572746294,D02,GSM7060820_Brain_GR180614_metadata.csv.gz,458
Cav1,0.16511594121928638,D02,GSM7060820_Brain_GR180614_metadata.csv.gz,458
Plvap,0.0912113586913481,D02,GSM7060820_Brain_GR180614_metadata.csv.gz,458
Ptprc,2.8325093023391117e-18,D02,GSM7060820_Brain_GR180614_metadata.csv.gz,458
Aif1,6.824273043237123e-18,D02,GSM7060820_Brain_GR180614_metadata.csv.gz,458
Pdgfrb,0.0,D02,GSM7060820_Brain_GR180614_metadata.csv.gz,458
Rgs5,0.035922646006477085,D02,GSM7060820_Brain_GR180614_metadata.csv.gz,458
Gfap,0.002166834357603919,D02,GSM7060820_Brain_GR180614_metadata.csv.gz,458
Cldn5,3.1924581923608133,D02,GSM7060821_Brain_GR180919_metadata.csv.gz,502
Pecam1,0.6306186712511368,D02,GSM7060821_Brain_GR180919_metadata.csv.gz,502
Cdh5,0.1905228546315138,D02,GSM7060821_Brain_GR180919_metadata.csv.gz,502
Kdr,0.33875805136635395,D02,GSM7060821_Brain_GR180919_metadata.csv.gz,502
Flt1,1.6095927503936456,D02,GSM7060821_Brain_GR180919_metadata.csv.gz,502
Tek,0.31113533482457645,D02,GSM7060821_Brain_GR180919_metadata.csv.gz,502
Slc2a1,0.8122015222944089,D02,GSM7060821_Brain_GR180919_metadata.csv.gz,502
Mfsd2a,0.15101920028805305,D02,GSM7060821_Brain_GR180919_metadata.csv.gz,502
Abcb1a,0.7544491014180285,D02,GSM7060821_Brain_GR180919_metadata.csv.gz,502
Abcg2,0.6787497026983141,D02,GSM7060821_Brain_GR180919_metadata.csv.gz,502
Tfrc,0.18813192294579248,D02,GSM7060821_Brain_GR180919_metadata.csv.gz,502
Slc7a5,0.08104955131896921,D02,GSM7060821_Brain_GR180919_metadata.csv.gz,502
Vwf,0.1760840344000705,D02,GSM7060821_Brain_GR180919_metadata.csv.gz,502
Cav1,0.18249546466687747,D02,GSM7060821_Brain_GR180919_metadata.csv.gz,502
Plvap,0.037427360888913686,D02,GSM7060821_Brain_GR180919_metadata.csv.gz,502
Ptprc,2.86318413348172e-16,D02,GSM7060821_Brain_GR180919_metadata.csv.gz,502
Aif1,2.136974791455511e-17,D02,GSM7060821_Brain_GR180919_metadata.csv.gz,502
Pdgfrb,0.0,D02,GSM7060821_Brain_GR180919_metadata.csv.gz,502
Rgs5,0.16449975792896968,D02,GSM7060821_Brain_GR180919_metadata.csv.gz,502
Gfap,0.0,D02,GSM7060821_Brain_GR180919_metadata.csv.gz,502
Cldn5,2.290709154578587,D02,GSM7060822_Brain_GR181024_metadata.csv.gz,1171
Pecam1,0.4682070198796321,D02,GSM7060822_Brain_GR181024_metadata.csv.gz,1171
Cdh5,0.10931550056065385,D02,GSM7060822_Brain_GR181024_metadata.csv.gz,1171
Kdr,0.1516955932303517,D02,GSM7060822_Brain_GR181024_metadata.csv.gz,1171
Flt1,1.1165314906061543,D02,GSM7060822_Brain_GR181024_metadata.csv.gz,1171
Tek,0.17271639016408183,D02,GSM7060822_Brain_GR181024_metadata.csv.gz,1171
Slc2a1,0.7140168782387017,D02,GSM7060822_Brain_GR181024_metadata.csv.gz,1171
Mfsd2a,0.10029645243595518,D02,GSM7060822_Brain_GR181024_metadata.csv.gz,1171
Abcb1a,0.5167174816770317,D02,GSM7060822_Brain_GR181024_metadata.csv.gz,1171
Abcg2,0.5227017318916621,D02,GSM7060822_Brain_GR181024_metadata.csv.gz,1171
Tfrc,0.13695057685603523,D02,GSM7060822_Brain_GR181024_metadata.csv.gz,1171
Slc7a5,0.05919813853340747,D02,GSM7060822_Brain_GR181024_metadata.csv.gz,1171
Vwf,0.09130227636119939,D02,GSM7060822_Brain_GR181024_metadata.csv.gz,1171
Cav1,0.16402968879147098,D02,GSM7060822_Brain_GR181024_metadata.csv.gz,1171
Plvap,0.015206358000114419,D02,GSM7060822_Brain_GR181024_metadata.csv.gz,1171
Ptprc,9.935910372615385e-18,D02,GSM7060822_Brain_GR181024_metadata.csv.gz,1171
Aif1,3.007255429890291e-17,D02,GSM7060822_Brain_GR181024_metadata.csv.gz,1171
Pdgfrb,0.0,D02,GSM7060822_Brain_GR181024_metadata.csv.gz,1171
Rgs5,0.04442959619346828,D02,GSM7060822_Brain_GR181024_metadata.csv.gz,1171
Gfap,0.0007876689965119906,D02,GSM7060822_Brain_GR181024_metadata.csv.gz,1171
Cldn5,4.605087354095593,D14,GSM7060823_Brain_GR180125_metadata.csv.gz,674
Pecam1,0.6885984228268143,D14,GSM7060823_Brain_GR180125_metadata.csv.gz,674
Cdh5,0.35769708943113965,D14,GSM7060823_Brain_GR180125_metadata.csv.gz,674
Kdr,0.5411734911360582,D14,GSM7060823_Brain_GR180125_metadata.csv.gz,674
Flt1,3.1194248359313717,D14,GSM7060823_Brain_GR180125_metadata.csv.gz,674
Tek,0.5696707085000449,D14,GSM7060823_Brain_GR180125_metadata.csv.gz,674
Slc2a1,0.9088340935805416,D14,GSM7060823_Brain_GR180125_metadata.csv.gz,674
Mfsd2a,0.26013260342175154,D14,GSM7060823_Brain_GR180125_metadata.csv.gz,674
Abcb1a,2.015305449462551,D14,GSM7060823_Brain_GR180125_metadata.csv.gz,674
Abcg2,0.7970491324028206,D14,GSM7060823_Brain_GR180125_metadata.csv.gz,674
Tfrc,0.6127719697495324,D14,GSM7060823_Brain_GR180125_metadata.csv.gz,674
Slc7a5,0.18670213594258614,D14,GSM7060823_Brain_GR180125_metadata.csv.gz,674
Vwf,0.09753914451283566,D14,GSM7060823_Brain_GR180125_metadata.csv.gz,674
Cav1,0.3367538919525088,D14,GSM7060823_Brain_GR180125_metadata.csv.gz,674
Plvap,0.08734679804869197,D14,GSM7060823_Brain_GR180125_metadata.csv.gz,674
Ptprc,1.809634449731594e-17,D14,GSM7060823_Brain_GR180125_metadata.csv.gz,674
Aif1,2.194226973301033e-13,D14,GSM7060823_Brain_GR180125_metadata.csv.gz,674
Pdgfrb,0.0,D14,GSM7060823_Brain_GR180125_metadata.csv.gz,674
Rgs5,0.19120554798987527,D14,GSM7060823_Brain_GR180125_metadata.csv.gz,674
Gfap,0.0,D14,GSM7060823_Brain_GR180125_metadata.csv.gz,674
Cldn5,3.4043863587841154,D14,GSM7060824_Brain_GR180613_metadata.csv.gz,319
Pecam1,0.5586794151869211,D14,GSM7060824_Brain_GR180613_metadata.csv.gz,319
Cdh5,0.1706954754612968,D14,GSM7060824_Brain_GR180613_metadata.csv.gz,319
Kdr,0.4579390293401209,D14,GSM7060824_Brain_GR180613_metadata.csv.gz,319
Flt1,3.0359596665784174,D14,GSM7060824_Brain_GR180613_metadata.csv.gz,319
Tek,0.3963678232281561,D14,GSM7060824_Brain_GR180613_metadata.csv.gz,319
Slc2a1,0.7329112671100776,D14,GSM7060824_Brain_GR180613_metadata.csv.gz,319
Mfsd2a,0.16247344624984636,D14,GSM7060824_Brain_GR180613_metadata.csv.gz,319
Abcb1a,1.5142288399373094,D14,GSM7060824_Brain_GR180613_metadata.csv.gz,319
Abcg2,0.501745444889429,D14,GSM7060824_Brain_GR180613_metadata.csv.gz,319
Tfrc,0.27700097465902496,D14,GSM7060824_Brain_GR180613_metadata.csv.gz,319
Slc7a5,0.1900189056465995,D14,GSM7060824_Brain_GR180613_metadata.csv.gz,319
Vwf,0.10301802300168734,D14,GSM7060824_Brain_GR180613_metadata.csv.gz,319
Cav1,0.2655228178942231,D14,GSM7060824_Brain_GR180613_metadata.csv.gz,319
Plvap,0.17200173226341872,D14,GSM7060824_Brain_GR180613_metadata.csv.gz,319
Ptprc,6.56075523399511e-18,D14,GSM7060824_Brain_GR180613_metadata.csv.gz,319
Aif1,2.285576915812358e-10,D14,GSM7060824_Brain_GR180613_metadata.csv.gz,319
Pdgfrb,0.0,D14,GSM7060824_Brain_GR180613_metadata.csv.gz,319
Rgs5,0.05234753057456767,D14,GSM7060824_Brain_GR180613_metadata.csv.gz,319
Gfap,0.0,D14,GSM7060824_Brain_GR180613_metadata.csv.gz,319
Cldn5,4.436101989337502,D14,GSM7060825_Brain_GR180905_metadata.csv.gz,300
Pecam1,0.6252155120899869,D14,GSM7060825_Brain_GR180905_metadata.csv.gz,300
Cdh5,0.19629544944491384,D14,GSM7060825_Brain_GR180905_metadata.csv.gz,300
Kdr,0.3194036430306991,D14,GSM7060825_Brain_GR180905_metadata.csv.gz,300
Flt1,2.69788060668257,D14,GSM7060825_Brain_GR180905_metadata.csv.gz,300
Tek,0.41937519502856924,D14,GSM7060825_Brain_GR180905_metadata.csv.gz,300
Slc2a1,0.715358996211969,D14,GSM7060825_Brain_GR180905_metadata.csv.gz,300
