gene,mean_D02,mean_Sham,effect_D02_vs_Sham,log2fc_proxy_D02_vs_Sham,pvalue_D02_vs_Sham,uniprot_accession,protein_name,subcellular_location_text,keywords_text,uniprot_status,surface_accessibility,targetability_score,targetability_comment
Tpm3,1.2392106743704525,0.4915028407410611,0.7477078336293914,1.3341480453282102,0.017032884883442966,P21107,Tropomyosin alpha-3 chain,"Cytoplasm, cytoskeleton",Acetylation | Actin-binding | Alternative splicing | Coiled coil | Cytoplasm | Cytoskeleton | Muscle protein | Phosphoprotein | Reference proteome,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Anxa2,0.9521195688441273,0.22335169831551274,0.7287678705286146,2.0918205924361737,0.004560706129260641,P07356,Annexin A2,"Secreted, extracellular space, extracellular matrix, basement membrane | Melanosome | Early endosome",3D-structure | Acetylation | Annexin | Basement membrane | Calcium | Calcium/phospholipid-binding | Endosome | Extracellular matrix | Isopeptide bond | Phosphoprotein | Reference proteome | Repeat | Secreted | Ubl conjugation,found,secreted_or_extracellular_mixed,0.5,"possible extracellular context marker, but not a clean direct receptor"
Cd200,1.035134405188702,0.31788748437797926,0.7172469208107226,1.7032268373889126,0.0007027101698781296,O54901,OX-2 membrane glycoprotein,Cell membrane; Single-pass type I membrane protein,3D-structure | Cell membrane | Direct protein sequencing | Disulfide bond | Glycoprotein | Immunoglobulin domain | Membrane | Reference proteome | Signal | Transmembrane | Transmembrane helix,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Hspa5,0.9180309605448121,0.22069957122407058,0.6973313893207416,2.0564540171311827,0.01214424103366273,P20029,Endoplasmic reticulum chaperone BiP,Endoplasmic reticulum lumen | Melanosome | Cytoplasm | Cell surface,Acetylation | ATP-binding | Chaperone | Cytoplasm | Direct protein sequencing | Endoplasmic reticulum | Hydrolase | Isopeptide bond | Methylation | Nitration | Nucleotide-binding | Phosphoprotein | Reference proteome | Signal | Ubl conjugation,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
S100a11,0.8255150073191372,0.13777461843646746,0.6877403888826698,2.58297558720973,0.00684520303586225,P50543,Protein S100-A11,Cytoplasm | Nucleus,Acetylation | Calcium | Cytoplasm | Disulfide bond | Metal-binding | Nucleus | Phosphoprotein | Reference proteome | Repeat,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Glul,1.1469875669401464,0.4628448203266123,0.6841427466135341,1.3092474117516137,0.03463216842274011,P15105,Glutamine synthetase,"Cytoplasm, cytosol | Microsome | Mitochondrion | Cell membrane; Lipid-anchor",Acetylation | Angiogenesis | ATP-binding | Cell membrane | Cytoplasm | Direct protein sequencing | Endoplasmic reticulum | Ligase | Lipoprotein | Magnesium | Manganese | Membrane | Metal-binding | Microsome | Mitochondrion | Nucleotide-binding | Palmitate | Phosphoprotein | Reference proteome | Transferase | Ubl conjugation,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Edn1,0.9060979065075851,0.22477617826351934,0.6813217282440658,2.0111729728210572,0.0011768862485557906,P22387,Endothelin-1,Secreted,Cleavage on pair of basic residues | Direct protein sequencing | Disulfide bond | Reference proteome | Secreted | Signal | Vasoactive | Vasoconstrictor,found,secreted_or_extracellular,1.0,"useful EC/stroke context marker, usually not a direct receptor"
H2-D1,1.3263892571391,0.6746471023711215,0.6517421547679786,0.9752982236098245,0.025642093745801592,P01899,"H-2 class I histocompatibility antigen, D-B alpha chain",Membrane; Single-pass type I membrane protein,3D-structure | Direct protein sequencing | Disulfide bond | Glycoprotein | Immunity | Membrane | MHC I | Phosphoprotein | Reference proteome | Signal | Transmembrane | Transmembrane helix | Ubl conjugation,found,membrane_unknown_location,2.0,"possible target, but needs topology/extracellular-domain check"
Lrg1,0.7043010156002338,0.06571260586691996,0.6385884097333139,3.4219301978682672,0.00145347153754262,Q91XL1,Leucine-rich HEV glycoprotein,,Leucine-rich repeat | Proteomics identification | Reference proteome | Repeat | Signal,found,unknown,0.0,manual annotation required
Ece1,0.9814732725308454,0.3708382103676442,0.6106350621632012,1.404156656540204,0.005822032505413418,Q4PZA2,Endothelin-converting enzyme 1,Cell membrane; Single-pass type II membrane protein,Alternative splicing | Cell membrane | Disulfide bond | Glycoprotein | Hydrolase | Membrane | Metal-binding | Metalloprotease | Phosphoprotein | Protease | Reference proteome | Signal-anchor | Transmembrane | Transmembrane helix | Zinc,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
