gene,mean_D14,mean_Sham,effect_D14_vs_Sham,log2fc_proxy_D14_vs_Sham,pvalue_D14_vs_Sham
Gm5854,0.0006215251459319975,0.0002849002849002849,0.00033662486103171267,1.1226200561543658,0.640989150053281
Apeh,0.01387752062327043,0.013541055320776388,0.0003364653024940413,0.03540707452556171,0.9576989720945543
A530072M11Rik,0.0015278351766970586,0.0011921851150406345,0.00033565006165642416,0.3576149932163234,0.8141584859023658
Gm4929,0.0019816404814956413,0.001646460439098046,0.0003351800423975952,0.2671792709699173,0.8611795244017171
Gm29717,0.0006199797658439768,0.0002849002849002849,0.0003350794809436919,1.1190342024662003,0.6417956733727858
Clec12a,0.001605979537854358,0.001271248685535398,0.0003347308523189601,0.3369708581182483,0.798855589360859
Gm7653,0.0006196251684890708,0.0002849002849002849,0.00033472488358878596,1.1182101466893621,0.64198134729372
BC064078,0.0016797646483528688,0.0013451408491485038,0.00033462379920436505,0.3202883534972895,0.8024304958642322
Zxdb,0.002411644852302564,0.002077299657425999,0.0003343451948765652,0.2152118799705915,0.8872856749940075
Gm9273,0.0006192009550044107,0.0002849002849002849,0.00033430067010412583,1.1172236898396004,0.6422037747166301
Gpr18,0.0006238238044072727,0.00028960128305255373,0.00033422252135471896,1.104408345301184,0.6451194292005198
Gm47636,0.0006188355471132897,0.0002849002849002849,0.0003339352622130048,1.1163734371788432,0.6423956321476016
Gm12328,0.008490250673924287,0.008156511181577909,0.0003337394923463785,0.0578480037416199,0.9409930513160736
Gm7470,0.0006186043173113033,0.0002849002849002849,0.00033370403241101846,1.1158351390296928,0.642517165546777
Gm38080,0.0005881054701424252,0.0002544683171185655,0.0003336371530238597,1.2053815683085243,0.6229415282983185
Timm8a1,0.000638838086795424,0.00030525030525030525,0.00033358778154511876,1.0629955903088364,0.6547456257574684
Gm7085,0.0006172846141802207,0.0002849002849002849,0.00033238432927993586,1.112759047410278,0.6432126734000088
Dennd2a,0.0006113493084467166,0.00027906644309356224,0.00033228286535315436,1.128585725054822,0.6396397188042399
Gm12871,0.0006171475923850495,0.0002849002849002849,0.0003322473074847646,1.1124392875978972,0.6432850699798073
Gm15133,0.0006005179985656778,0.00026910177580017773,0.00033141622276550007,1.1551047812718538,0.633752546075552
Gm14857,0.0006162600812917392,0.0002849002849002849,0.0003313597963914543,1.1103664365049273,0.6437548329409092
Lrig1,0.000575316600835027,0.00024408988603988603,0.00033122671479514094,1.2335506265387723,0.6170698111374853
Gm43217,0.0006159695266893379,0.0002849002849002849,0.00033106924178905305,1.1096871760350364,0.6439089411542326
Gm6070,0.0009004976072407688,0.0005698005698005698,0.0003306970374401991,0.6593368874727265,0.7016982697509848
Atl1,0.00897748505793003,0.008646906511082067,0.0003305785468479625,0.05412111241796313,0.9002499397521875
Gm5483,0.0006073647241060664,0.0002768413282898811,0.0003305233958161853,1.1306752881216982,0.6391680474574609
Gm37030,0.0006152745917363461,0.0002849002849002849,0.0003303743068360612,1.108061254124589,0.6442781652008377
Gm11214,0.0009000212402066197,0.0005698005698005698,0.0003302206704060499,0.6585743408011251,0.7016279040995085
Atg4a-ps,0.0008816528407791511,0.0005514364971095939,0.00033021634366955715,0.6760374826740557,0.7411916176497697
Cbx3-ps8,0.0006147053190265298,0.0002849002849002849,0.0003298050341262449,1.1067279743094822,0.6445812930778807
Gm26226,0.0006145831626106501,0.0002849002849002849,0.00032968287771036525,1.1064417140892189,0.644646417951749
Zbed5,0.0006064967456411843,0.0002768456033939646,0.00032965114224721973,1.1285932688437104,0.6396330208242007
Gm15747,0.00032941986378770907,0.0,0.00032941986378770907,8.3681566093608,0.37390096630005887
Gm44703,0.0008988370031774035,0.0005698005698005698,0.00032903643337683377,0.6566769197888569,0.7021594836692162
Gm15959,0.0006139325353568903,0.0002849002849002849,0.0003290322504566054,1.1049160825162285,0.6449937542779453
Gm14407,0.003724503517700367,0.0033958522943026794,0.0003286512233976876,0.13323693842881512,0.9214882079036936
Gm16288,0.0006133125124934358,0.0002849002849002849,0.0003284122275931509,1.1034607112088304,0.6453254896146777
Myo1g,0.0007611881130539351,0.0004333590800258032,0.0003278290330281319,0.8112589117701564,0.7201627467860748
Sfxn2,0.0032800474565398397,0.0029525630063211624,0.0003274844502186773,0.1517000726085219,0.8343064388787353
Hrh2,0.0005154520672272548,0.00018851537603167693,0.0003269366911955779,1.4463195524487331,0.57698607172529
C5ar1,0.0007481746651109622,0.00042137257195236496,0.0003268020931585972,0.8267859607449799,0.7157792975588798
Washc4,0.020439057373919156,0.02011364036323358,0.0003254170106855754,0.023153302093450477,0.9653835538698518
Gm42830,0.0008718889097688572,0.0005466203909696786,0.0003252685187991786,0.6726218904071857,0.761276799118776
Gm11896,0.0006097382348732013,0.0002849002849002849,0.0003248379499729164,1.0950421093821816,0.6472519927824404
